审核行号 / Review Row ID,原总账行号 / Catalog Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,运行路径 / Runtime Path,当前版本 / Runtime Version,生产与QA证据路径 / Production and QA Evidence,透明底检查 / White Gray Black QA,Godot截图 / Godot Screenshot,设备审核 / Device Review,最终视觉审核 / Final Visual Review,审核责任 / Review Owner,当前备注 / Current Notes
47,1353,待命名（Button Gray Disabled）,Button Gray Disabled,共用界面资源,Shared UI,assets/runtime/ui/shared/buttons/states/button_gray_disabled.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/button_gray_disabled.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
48,1354,待命名（Button Yellow Default）,Button Yellow Default,共用界面资源,Shared UI,assets/runtime/ui/shared/buttons/states/button_yellow_default.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/button_yellow_default.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
49,1355,待命名（Button Yellow Pressed）,Button Yellow Pressed,共用界面资源,Shared UI,assets/runtime/ui/shared/buttons/states/button_yellow_pressed.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/button_yellow_pressed.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
50,1356,界面清空数据确认外框v03,Ui Clear Data Confirm Shell v03,共用界面资源,Shared UI,assets/runtime/ui/shared/confirmation/backplates/ui_clear_data_confirm_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_clear_data_confirm_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
51,1357,待命名（Title Ribbon Blue）,Title Ribbon Blue,共用界面资源,Shared UI,assets/runtime/ui/shared/decorations/titles/title_ribbon_blue.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/common/title_ribbon_blue.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
52,1232,界面商城外框v03,Ui Shop Shell v03,商城界面,Shop UI,assets/runtime/ui/interfaces/shop/backplates/ui_shop_shell_v03.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge/ui_shop_shell_v03.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
53,1233,待命名（Icon Coin Bundle）,Icon Coin Bundle,商城界面,Shop UI,assets/runtime/ui/interfaces/shop/icons/icon_coin_bundle.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/shop/icon_coin_bundle.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
54,1234,图标印记宝箱,Icon Imprint Chest,商城界面,Shop UI,assets/runtime/ui/interfaces/shop/icons/icon_imprint_chest.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/shop/icon_imprint_chest.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
55,1235,图标星阶铸锤,Icon Star Hammer,商城界面,Shop UI,assets/runtime/ui/interfaces/shop/icons/icon_star_hammer.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/pages/shop/icon_star_hammer.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
56,1236,商城水晶,Shop Crystal,商城界面,Shop UI,assets/runtime/ui/interfaces/shop/icons/shop_crystal.png,v04,art/production/ui/chapter01/2026-08-13_centered_interfaces_complete_v02/cutouts/elements/icons/crystal.png,不适用或按组件审核 / N/A or component-level,待生成：941x1672、720x1600、1080x1920 / Pending,待审核 / Pending,待审核 / Pending,UI美术 + QA + 策划终审 / UI Art + QA + Design Final Review,待完成：in_game。 / Pending review remains. 原始来源路径当前不存在，保持历史删除状态。 / An original-source path is currently missing; preserve its deletion state.
