序号 / ID,层级 / Depth,当前目录 / Current Directory,父目录 / Parent Directory,目录类别 / Directory Category,状态 / Status,直属文件数 / Direct Files,目录内总账资源数 / Catalog Assets Under Directory,当前在用资源数 / Active Assets,对应运行或生产目录 / Runtime or Production Counterpart,原始来源目录 / Original Source Directories,可否直接修改 / Direct Editing,图集规则 / Atlas Rule
1,1,art/ai_generated/,art/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,161,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
160,5,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/previews/,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
161,5,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/qa/,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,5,5,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
162,5,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/source/,art/production/ui/daily_tasks/2026-08-14_hd_reset_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
163,3,art/production/ui/purchase_confirmation/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,18,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
164,4,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,art/production/ui/purchase_confirmation/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,18,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
165,5,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/chroma/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
166,5,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,8,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
167,6,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/backplates/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,6,6,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
168,6,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/icons/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,2,2,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
169,5,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/previews/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,1,1,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
170,5,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/qa/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,4,4,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
171,5,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/source/,art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,3,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
172,3,art/production/ui/runtime_atlas_sources/,art/production/ui/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,0,72,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
173,4,art/production/ui/runtime_atlas_sources/2026-08-20/,art/production/ui/runtime_atlas_sources/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,3,72,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
174,5,art/production/ui/runtime_atlas_sources/2026-08-20/board_glyphs/,art/production/ui/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,36,36,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
175,5,art/production/ui/runtime_atlas_sources/2026-08-20/board_tiles/,art/production/ui/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,5,5,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
176,5,art/production/ui/runtime_atlas_sources/2026-08-20/card_icons/,art/production/ui/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,16,16,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
177,5,art/production/ui/runtime_atlas_sources/2026-08-20/meta_icons/,art/production/ui/runtime_atlas_sources/2026-08-20/,生产可编辑源 / Editable Production Source,生产/历史资源 / Production or historical,15,15,0,—,—,是；此处是美术修改入口 / Yes; art-editing entry point,runtime_atlas_sources/** 修改后运行图集构建
178,1,art/ui_slices/,art/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,51,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
179,2,art/ui_slices/2026-07-30/,art/ui_slices/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,21,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
180,3,art/ui_slices/2026-07-30/item-choice-modal-v01/,art/ui_slices/2026-07-30/,历史来源 / Historical Source,生产/历史资源 / Production or historical,2,21,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
181,4,art/ui_slices/2026-07-30/item-choice-modal-v01/_raw_crops/,art/ui_slices/2026-07-30/item-choice-modal-v01/,历史来源 / Historical Source,生产/历史资源 / Production or historical,7,7,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
182,4,art/ui_slices/2026-07-30/item-choice-modal-v01/production/,art/ui_slices/2026-07-30/item-choice-modal-v01/,历史来源 / Historical Source,生产/历史资源 / Production or historical,14,13,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
183,2,art/ui_slices/2026-08-05/,art/ui_slices/,历史来源 / Historical Source,生产/历史资源 / Production or historical,1,30,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
184,3,art/ui_slices/2026-08-05/item-choice-modal-backplates-v01/,art/ui_slices/2026-08-05/,历史来源 / Historical Source,生产/历史资源 / Production or historical,18,18,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
185,3,art/ui_slices/2026-08-05/loading-bar-v01/,art/ui_slices/2026-08-05/,历史来源 / Historical Source,生产/历史资源 / Production or historical,13,12,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
186,0,art_source/,—,历史来源 / Historical Source,生产/历史资源 / Production or historical,2,73,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
187,1,art_source/fx_references/,art_source/,历史来源 / Historical Source,生产/历史资源 / Production or historical,0,73,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
188,2,art_source/fx_references/弹道效果全景循环_12帧_v01/,art_source/fx_references/,历史来源 / Historical Source,生产/历史资源 / Production or historical,3,15,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
189,3,art_source/fx_references/弹道效果全景循环_12帧_v01/frames/,art_source/fx_references/弹道效果全景循环_12帧_v01/,历史来源 / Historical Source,生产/历史资源 / Production or historical,12,12,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
190,2,art_source/fx_references/爆炸影响_参考还原_v01/,art_source/fx_references/,历史来源 / Historical Source,生产/历史资源 / Production or historical,4,29,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
191,3,art_source/fx_references/爆炸影响_参考还原_v01/frames_rgba/,art_source/fx_references/爆炸影响_参考还原_v01/,历史来源 / Historical Source,生产/历史资源 / Production or historical,25,25,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
192,2,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/,art_source/fx_references/,历史来源 / Historical Source,生产/历史资源 / Production or historical,5,29,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
193,3,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/frames_rgba/,art_source/fx_references/爆炸影响_参考还原_v02_严格保真/,历史来源 / Historical Source,生产/历史资源 / Production or historical,25,25,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
194,1,art_source/source_sheets/,art_source/,历史来源 / Historical Source,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
195,1,assets/runtime/,assets/,历史来源 / Historical Source,在用待审核 276（其中待审 56） / Active pending review,0,463,276,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge | art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates | art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/benefits_icon_coin_stack_v01.png | art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/icons,assets/sound | assets/UI/怪物概念图_v1/怪物拆图_v2_简练版/透明PNG_512 | assets/fx/elements/arcane,否；只作溯源与审核 / No; traceability and review only,不直接打包 / Never pack directly
196,2,assets/runtime/audio/,assets/runtime/,当前运行资源 / Current Runtime Asset,正在使用 2 / Active,2,2,2,—,assets/sound,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
197,2,assets/runtime/characters/,assets/runtime/,当前运行资源 / Current Runtime Asset,正在使用 14 / Active,0,14,14,—,assets/UI/怪物概念图_v1/怪物拆图_v2_简练版/透明PNG_512,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
198,3,assets/runtime/characters/monsters/,assets/runtime/characters/,当前运行资源 / Current Runtime Asset,正在使用 14 / Active,9,14,14,—,assets/UI/怪物概念图_v1/怪物拆图_v2_简练版/透明PNG_512,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
199,4,assets/runtime/characters/monsters/atlases/,assets/runtime/characters/monsters/,当前运行资源 / Current Runtime Asset,正在使用 5 / Active,5,5,5,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
200,4,assets/runtime/characters/monsters/die/,assets/runtime/characters/monsters/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
201,4,assets/runtime/characters/monsters/slime_stage_01/,assets/runtime/characters/monsters/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
202,5,assets/runtime/characters/monsters/slime_stage_01/hit/,assets/runtime/characters/monsters/slime_stage_01/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
203,5,assets/runtime/characters/monsters/slime_stage_01/walk/,assets/runtime/characters/monsters/slime_stage_01/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
204,3,assets/runtime/characters/xingzou boos/,assets/runtime/characters/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
205,2,assets/runtime/fx/,assets/runtime/,当前运行资源 / Current Runtime Asset,正在使用 25 / Active,0,25,25,—,assets/fx/elements/arcane | assets/fx/elements/fire | assets/fx/elements/ice,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
206,3,assets/runtime/fx/crystal_tower/,assets/runtime/fx/,当前运行资源 / Current Runtime Asset,正在使用 3 / Active,5,3,3,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
207,3,assets/runtime/fx/elements/,assets/runtime/fx/,当前运行资源 / Current Runtime Asset,正在使用 20 / Active,0,20,20,—,assets/fx/elements/arcane | assets/fx/elements/fire | assets/fx/elements/ice,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
208,4,assets/runtime/fx/elements/critical/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 4 / Active,4,4,4,—,assets/fx/elements/arcane,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
209,4,assets/runtime/fx/elements/fire/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 4 / Active,4,4,4,—,assets/fx/elements/fire,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
210,4,assets/runtime/fx/elements/ice/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 4 / Active,4,4,4,—,assets/fx/elements/ice,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
211,4,assets/runtime/fx/elements/lightning/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 3 / Active,2,3,3,—,assets/fx/elements/lightning,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
212,5,assets/runtime/fx/elements/lightning/atlases/,assets/runtime/fx/elements/lightning/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,1,1,1,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
213,5,assets/runtime/fx/elements/lightning/beam/,assets/runtime/fx/elements/lightning/,当前运行资源 / Current Runtime Asset,空目录或仅含非总账文件 / Empty or non-catalog files only,0,0,0,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
214,4,assets/runtime/fx/elements/poison/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 4 / Active,4,4,4,—,assets/fx/elements/poison,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
215,4,assets/runtime/fx/elements/shared/,assets/runtime/fx/elements/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,1,1,1,—,assets/fx/elements/shared,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
216,3,assets/runtime/fx/merge/,assets/runtime/fx/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,0,1,1,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
217,4,assets/runtime/fx/merge/atlases/,assets/runtime/fx/merge/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,1,1,1,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
218,3,assets/runtime/fx/portal/,assets/runtime/fx/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,0,1,1,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
219,4,assets/runtime/fx/portal/atlases/,assets/runtime/fx/portal/,当前运行资源 / Current Runtime Asset,正在使用 1 / Active,1,1,1,—,—,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
220,2,assets/runtime/ui/,assets/runtime/,当前运行资源 / Current Runtime Asset,在用待审核 235（其中待审 56） / Active pending review,1,422,235,art/production/ui/chapter01/2026-08-13_centered_interfaces_runtime_v04/qa/edge | art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/backplates | art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/cutouts/icons/benefits_icon_coin_stack_v01.png | art/production/ui/purchase_confirmation/2026-08-20_bundle_cutouts_v01/cutouts/icons,art/production/ui/benefits_popup/2026-08-16_program_composition_cutouts_v01/source | art/ui_slices/2026-08-05/item-choice-modal-backplates-v01 | art/production/ui/daily_program_composition/2026-08-16_cutouts_v01,否；改 production 源后同步 / No; edit production source then sync,按运行图集脚本维护 / Build-script managed where applicable
221,3,assets/runtime/ui/battle/,assets/runtime/ui/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,12,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
222,4,assets/runtime/ui/battle/prompts/,assets/runtime/ui/battle/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,12,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
223,5,assets/runtime/ui/battle/prompts/imprint_choice/,assets/runtime/ui/battle/prompts/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,12,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
224,6,assets/runtime/ui/battle/prompts/imprint_choice/button/,assets/runtime/ui/battle/prompts/imprint_choice/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,3,3,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
225,6,assets/runtime/ui/battle/prompts/imprint_choice/icon/,assets/runtime/ui/battle/prompts/imprint_choice/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,0,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
226,6,assets/runtime/ui/battle/prompts/imprint_choice/overlay/,assets/runtime/ui/battle/prompts/imprint_choice/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,5,5,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
227,6,assets/runtime/ui/battle/prompts/imprint_choice/panel/,assets/runtime/ui/battle/prompts/imprint_choice/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,3,3,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
228,6,assets/runtime/ui/battle/prompts/imprint_choice/slot/,assets/runtime/ui/battle/prompts/imprint_choice/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,1,1,0,assets/runtime/ui/interfaces/battle/**；印记选择见 interfaces/imprint_choice/**；棋盘组件见 components/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
229,3,assets/runtime/ui/cards/,assets/runtime/ui/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,4,0,assets/runtime/ui/components/card_*/**；水晶卡选择见 interfaces/crystal_card_choice/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
230,4,assets/runtime/ui/cards/backs/,assets/runtime/ui/cards/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,3,3,0,assets/runtime/ui/components/card_*/**；水晶卡选择见 interfaces/crystal_card_choice/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
231,4,assets/runtime/ui/cards/frames/,assets/runtime/ui/cards/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,1,1,0,assets/runtime/ui/components/card_*/**；水晶卡选择见 interfaces/crystal_card_choice/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
232,4,assets/runtime/ui/cards/icons/,assets/runtime/ui/cards/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,0,0,0,assets/runtime/ui/components/card_*/**；水晶卡选择见 interfaces/crystal_card_choice/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
233,3,assets/runtime/ui/components/,assets/runtime/ui/,当前运行 UI / Current Runtime UI,正在使用 72 / Active,0,72,72,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
234,4,assets/runtime/ui/components/board_glyphs/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 37 / Active,0,37,37,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
235,5,assets/runtime/ui/components/board_glyphs/atlas_regions/,assets/runtime/ui/components/board_glyphs/,当前运行 UI / Current Runtime UI,正在使用 36 / Active,36,36,36,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
236,5,assets/runtime/ui/components/board_glyphs/atlases/,assets/runtime/ui/components/board_glyphs/,当前运行 UI / Current Runtime UI,正在使用 1 / Active,1,1,1,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
237,4,assets/runtime/ui/components/board_tiles/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 6 / Active,0,6,6,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
238,5,assets/runtime/ui/components/board_tiles/atlas_regions/,assets/runtime/ui/components/board_tiles/,当前运行 UI / Current Runtime UI,正在使用 5 / Active,5,5,5,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
239,5,assets/runtime/ui/components/board_tiles/atlases/,assets/runtime/ui/components/board_tiles/,当前运行 UI / Current Runtime UI,正在使用 1 / Active,1,1,1,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
240,4,assets/runtime/ui/components/card_backs/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 1 / Active,0,1,1,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
241,5,assets/runtime/ui/components/card_backs/textures/,assets/runtime/ui/components/card_backs/,当前运行 UI / Current Runtime UI,正在使用 1 / Active,1,1,1,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
242,4,assets/runtime/ui/components/card_icons/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 17 / Active,0,17,17,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
243,5,assets/runtime/ui/components/card_icons/atlas_regions/,assets/runtime/ui/components/card_icons/,当前运行 UI / Current Runtime UI,正在使用 16 / Active,16,16,16,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
244,5,assets/runtime/ui/components/card_icons/atlases/,assets/runtime/ui/components/card_icons/,当前运行 UI / Current Runtime UI,正在使用 1 / Active,1,1,1,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
245,4,assets/runtime/ui/components/crystal_tower/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 9 / Active,0,9,9,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
246,5,assets/runtime/ui/components/crystal_tower/textures/,assets/runtime/ui/components/crystal_tower/,当前运行 UI / Current Runtime UI,正在使用 9 / Active,9,9,9,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
247,4,assets/runtime/ui/components/rating_stars/,assets/runtime/ui/components/,当前运行 UI / Current Runtime UI,正在使用 2 / Active,0,2,2,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
248,5,assets/runtime/ui/components/rating_stars/icons/,assets/runtime/ui/components/rating_stars/,当前运行 UI / Current Runtime UI,正在使用 2 / Active,2,2,2,—,—,否；改 production 或图集源后重建 / No; edit production or atlas source then rebuild,按子目录；atlas_regions/atlases/ 必须通过构建脚本维护
249,3,assets/runtime/ui/daily_program_composition_v01/,assets/runtime/ui/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,1,25,0,assets/runtime/ui/interfaces/daily_program/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
250,4,assets/runtime/ui/daily_program_composition_v01/backplates/,assets/runtime/ui/daily_program_composition_v01/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,16,16,0,assets/runtime/ui/interfaces/daily_program/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
251,4,assets/runtime/ui/daily_program_composition_v01/icons/,assets/runtime/ui/daily_program_composition_v01/,旧运行 UI 包 / Legacy Runtime UI Package,旧包；不作为当前入口 / Legacy package; not current intake,9,9,0,assets/runtime/ui/interfaces/daily_program/**,—,"否；仅审核，不作为新增资源入口 / No; review only, not an intake location",不新增图集 / No new atlas work
