行号 / Row ID,资源中文名 / Asset Name CN,资源英文名 / Asset Name EN,模块中文 / Module CN,模块英文 / Module EN,资源类型中文 / Type CN,资源类型英文 / Type EN,主状态中文 / Status CN,主状态英文 / Status EN,审核状态中文 / Review Status CN,审核状态英文 / Review Status EN,当前相对路径 / Current Relative Path,当前绝对路径 / Current Absolute Path,是否被引用 / Referenced,引用数量 / Reference Count,主要引用位置 / Primary References,当前运行版本 / Runtime Version,原始来源路径 / Original Source Path,生产来源路径 / Production Source Path,替代前资源 / Replaced Asset,替代后资源 / Replacement Asset,来源判定方法 / Provenance Method,来源可信度 / Provenance Confidence,文件格式 / Extension,像素尺寸 / Dimensions,文件大小 / Size Bytes,Alpha 状态 / Alpha,是否含烘焙文字 / Text Baked,SHA-256,Git 状态 / Git State,最后修改时间 / Last Modified,备注与行动 / Notes and Action
121,待命名（Lobby Ui Frames Chroma Imagegen Builtin v01）,Lobby Ui Frames Chroma Imagegen Builtin v01,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/lobby_ui_frames_chroma_imagegen_builtin_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-08\235311_lobby_hd_reset\lobby_ui_frames_chroma_imagegen_builtin_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/lobby_ui_frames_chroma_imagegen_builtin_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1536×1024,1307132,无 Alpha / Opaque,未知 / Unknown,2f18e03a17feef6b9dbb9ae7fb04ae6f0be00c4b3c788c7ec9f735a1453259bc,未跟踪 / Untracked,2026-08-08T15:55:46.832Z,
122,待命名（Layout Content Reference）,Layout Content Reference,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/references/layout_content_reference.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-08\235311_lobby_hd_reset\references\layout_content_reference.png,否 / No,0,,unversioned / 未标版本,art/ai_generated/imagegen/2026-08-08/235311_lobby_hd_reset/references/layout_content_reference.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,717×1272,919042,无 Alpha / Opaque,未知 / Unknown,1b7a41e2f2f71737ae71b6fe8cae8fef6a18683a87a5cbd26afa89910dc9c3e6,未跟踪 / Untracked,2026-08-08T15:48:43.556Z,
123,待命名（Lobby Crystal Stage Chroma Imagegen Builtin v01）,Lobby Crystal Stage Chroma Imagegen Builtin v01,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/lobby_crystal_stage_chroma_imagegen_builtin_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-09\085423_crystal_stage_background\lobby_crystal_stage_chroma_imagegen_builtin_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/lobby_crystal_stage_chroma_imagegen_builtin_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,1369×1149,1935329,无 Alpha / Opaque,未知 / Unknown,1d27ac2a00b283186a15a00765af1124aaf593e4bd58ca08d061c5b8b164c9da,未跟踪 / Untracked,2026-08-09T00:53:34.915Z,
124,大厅草地背景净底imagegenbuiltinv01,Lobby Grass Background Clean Imagegen Builtin v01,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/lobby_grass_background_clean_imagegen_builtin_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-09\085423_crystal_stage_background\lobby_grass_background_clean_imagegen_builtin_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/lobby_grass_background_clean_imagegen_builtin_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,941×1672,1665241,无 Alpha / Opaque,未知 / Unknown,1a6f7da25099b8cb59287b44f087996b189e1b8088fb761137a042a498aacf48,未跟踪 / Untracked,2026-08-09T00:53:07.907Z,
125,待命名（Layout Content Reference）,Layout Content Reference,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/references/layout_content_reference.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-09\085423_crystal_stage_background\references\layout_content_reference.png,否 / No,0,,unversioned / 未标版本,art/ai_generated/imagegen/2026-08-09/085423_crystal_stage_background/references/layout_content_reference.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,717×1270,1408600,无 Alpha / Opaque,未知 / Unknown,44af012c4d4f7465a441cb037ff7ac99f2985c17a8e48df1ea51070878b281b4,未跟踪 / Untracked,2026-08-09T00:50:32.643Z,
126,每日任务and签到conceptv01,Daily Tasks And Signin Concept v01,日常任务,Daily Tasks UI,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/daily_tasks_and_signin_concept_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-13\131530_chapter01_ui_batch2_concepts\daily_tasks_and_signin_concept_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/daily_tasks_and_signin_concept_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,941×1672,1748777,无 Alpha / Opaque,未知 / Unknown,c19f5797028c1d9c29fa71d2b9a9a0d5918a1365e809ca62effb8ed934e7d86e,未跟踪 / Untracked,2026-08-13T05:13:48.216Z,
127,待命名（Lobby Growth And Commercial Concept v01）,Lobby Growth And Commercial Concept v01,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/lobby_growth_and_commercial_concept_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-13\131530_chapter01_ui_batch2_concepts\lobby_growth_and_commercial_concept_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/lobby_growth_and_commercial_concept_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,941×1672,2077216,无 Alpha / Opaque,未知 / Unknown,f975a871a363f303f84397831ddaa49b8701984fef257000adbc1e7b8d1a2234,未跟踪 / Untracked,2026-08-13T05:14:53.771Z,
128,待命名（Pause And Settings Concept v01）,Pause And Settings Concept v01,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/pause_and_settings_concept_v01.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-13\131530_chapter01_ui_batch2_concepts\pause_and_settings_concept_v01.png,否 / No,0,,v01,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/pause_and_settings_concept_v01.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,941×1672,1570993,无 Alpha / Opaque,未知 / Unknown,8c86a62c591f34fa6c14cdd3cff48cd44d1e2f45c9e3fdd2472134e38732db8d,未跟踪 / Untracked,2026-08-13T05:12:40.084Z,
129,待命名（Battle Layout Reference）,Battle Layout Reference,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/references/battle_layout_reference.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-13\131530_chapter01_ui_batch2_concepts\references\battle_layout_reference.png,否 / No,0,,unversioned / 未标版本,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/references/battle_layout_reference.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,564×988,455226,无 Alpha / Opaque,未知 / Unknown,231a9268c7a19a038e4443362cfafd6c96b5999bdfef3af011e4d9d65bee9820,未跟踪 / Untracked,2026-08-06T06:11:55.531Z,
130,待命名（Lobby Style Layout Reference）,Lobby Style Layout Reference,ImageGen AI 原始资源,ImageGen AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/references/lobby_style_layout_reference.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\imagegen\2026-08-13\131530_chapter01_ui_batch2_concepts\references\lobby_style_layout_reference.png,否 / No,0,,unversioned / 未标版本,art/ai_generated/imagegen/2026-08-13/131530_chapter01_ui_batch2_concepts/references/lobby_style_layout_reference.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,717×1270,1408600,无 Alpha / Opaque,未知 / Unknown,44af012c4d4f7465a441cb037ff7ac99f2985c17a8e48df1ea51070878b281b4,未跟踪 / Untracked,2026-08-09T00:50:32.643Z,
131,待命名（Qa Textless Contact Sheet）,Qa Textless Contact Sheet,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/_qa_textless_contact_sheet.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\_qa_textless_contact_sheet.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/_qa_textless_contact_sheet.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,880×1100,151451,无 Alpha / Opaque,未知 / Unknown,c06697a6bab9f0ee8bf204e6cf93882bc21a7fb19e4e2cb6a4d338966a126091,未跟踪 / Untracked,2026-07-29T15:16:38.480Z,
132,待命名（Item Lock Button）,Item Lock Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_lock_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\item_lock_button.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_lock_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,119×141,20010,有 Alpha / Alpha,未知 / Unknown,b97ca808ecff24764e7d78055d21615a9418c852b4f1892e1b22c745b3d5fd66,未跟踪 / Untracked,2026-07-29T15:16:38.268Z,
133,待命名（Item Refresh Button）,Item Refresh Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_refresh_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\item_refresh_button.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_refresh_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,122×141,21739,有 Alpha / Alpha,未知 / Unknown,0a07ddd36f6908b646ed15b45fc4cbd4f6d400d6e5df021132fc3ebc967640e5,未跟踪 / Untracked,2026-07-29T15:16:38.237Z,
134,待命名（Item Wand Button）,Item Wand Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_wand_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\item_wand_button.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/item_wand_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,123×141,22208,有 Alpha / Alpha,未知 / Unknown,7fbb25776bb70ed792ca84c276f87a8400c2d363bb9c7cc28ff6b775337dc29a,未跟踪 / Untracked,2026-07-29T15:16:38.253Z,
135,待命名（Skill Disabled Icon）,Skill Disabled Icon,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_disabled_icon.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\skill_disabled_icon.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_disabled_icon.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,110×114,24172,有 Alpha / Alpha,未知 / Unknown,f790d2e188ce94e7467fb58341c72557beb8759e0c4224b4d95db0db1c55a030,未跟踪 / Untracked,2026-07-29T15:16:38.213Z,
136,待命名（Skill Meter Frame）,Skill Meter Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_meter_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\skill_meter_frame.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_meter_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,238×49,5539,有 Alpha / Alpha,未知 / Unknown,d1a9d26cdeef40f45d548481a517ac8b34645957807c907d0c5f25876046bac1,未跟踪 / Untracked,2026-07-29T15:16:38.221Z,
137,待命名（Skill Panel Frame）,Skill Panel Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_panel_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\bottom\skill_panel_frame.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/bottom/skill_panel_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,385×153,10163,有 Alpha / Alpha,未知 / Unknown,7e864878287de4ac7d91b8b283a94b5339b734e05a54589e6f43d00f92ce0cae,未跟踪 / Untracked,2026-07-29T15:16:38.201Z,
138,货币状态框,Currency Status Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/currency_status_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\top\currency_status_frame.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/currency_status_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,218×84,12865,有 Alpha / Alpha,未知 / Unknown,48e007fe3528552cadfec54522f11b2dbb1d53a4e0048270473dc65810c8b48f,未跟踪 / Untracked,2026-07-29T15:16:38.167Z,
139,暂停按钮,Pause Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/pause_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\top\pause_button.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/pause_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,91×90,9348,有 Alpha / Alpha,未知 / Unknown,acc9321b1985ec83121393597caecb7bce2708cd1b87d3a536a6723299fac99c,未跟踪 / Untracked,2026-07-29T15:16:38.133Z,
140,待命名（Timer Status Frame）,Timer Status Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/timer_status_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\top\timer_status_frame.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/timer_status_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,177×84,11683,有 Alpha / Alpha,未知 / Unknown,b47ea9057d9f3ae6414f846a16d583e605d1ec62802443df63c432c6e3072be6,未跟踪 / Untracked,2026-07-29T15:16:38.155Z,
141,待命名（Wave Status Frame）,Wave Status Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/wave_status_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v01\top\wave_status_frame.png,否 / No,0,,v01,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v01/top/wave_status_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,262×84,7886,有 Alpha / Alpha,未知 / Unknown,15440f03a25dbd44d958e5ab6c8390d02ef18c66c75f4fbd769734ae1891adc4,未跟踪 / Untracked,2026-07-29T15:16:38.146Z,
142,待命名（Qa Textless Contact Sheet）,Qa Textless Contact Sheet,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/_qa_textless_contact_sheet.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\_qa_textless_contact_sheet.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/_qa_textless_contact_sheet.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,880×1540,157569,无 Alpha / Opaque,未知 / Unknown,1389f798994e98aac1c180c22622c936d0e13bf157e90e2ad591d1132346c174,未跟踪 / Untracked,2026-07-29T15:20:26.283Z,
143,待命名（Item Count Badge Frame）,Item Count Badge Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_count_badge_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\item_count_badge_frame.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_count_badge_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,37×49,2631,有 Alpha / Alpha,未知 / Unknown,83e122c5608afa782fb6c5348d9d7674e5ea058fb3bcf8a7ecc9cd208e21cc8b,未跟踪 / Untracked,2026-07-29T15:20:26.057Z,
144,待命名（Item Lock Button）,Item Lock Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_lock_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\item_lock_button.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_lock_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,119×141,20010,有 Alpha / Alpha,未知 / Unknown,b97ca808ecff24764e7d78055d21615a9418c852b4f1892e1b22c745b3d5fd66,未跟踪 / Untracked,2026-07-29T15:20:26.055Z,
145,待命名（Item Refresh Button）,Item Refresh Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_refresh_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\item_refresh_button.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_refresh_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,112×130,21175,有 Alpha / Alpha,未知 / Unknown,c5986561fdfba9d90dae5c5dd7bd82eb14cf36ee44673638082a4ac4f7496f82,未跟踪 / Untracked,2026-07-29T15:20:26.022Z,
146,待命名（Item Wand Button）,Item Wand Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_wand_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\item_wand_button.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/item_wand_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,112×130,21974,有 Alpha / Alpha,未知 / Unknown,8d55214b185da589aa87593e346ae33f8e159a25e93bbacd80756cbd5429b055,未跟踪 / Untracked,2026-07-29T15:20:26.038Z,
147,待命名（Skill Disabled Icon）,Skill Disabled Icon,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_disabled_icon.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\skill_disabled_icon.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_disabled_icon.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,102×105,21323,有 Alpha / Alpha,未知 / Unknown,16a754d1a7af126d813b5c20deb5ae4ebe08c29dc3a3e065dce4dd844c248ea9,未跟踪 / Untracked,2026-07-29T15:20:25.999Z,
148,待命名（Skill Meter Frame）,Skill Meter Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_meter_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\skill_meter_frame.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_meter_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,238×49,5539,有 Alpha / Alpha,未知 / Unknown,d1a9d26cdeef40f45d548481a517ac8b34645957807c907d0c5f25876046bac1,未跟踪 / Untracked,2026-07-29T15:20:26.009Z,
149,待命名（Skill Panel Frame）,Skill Panel Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_panel_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\bottom\skill_panel_frame.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/bottom/skill_panel_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,385×153,10163,有 Alpha / Alpha,未知 / Unknown,7e864878287de4ac7d91b8b283a94b5339b734e05a54589e6f43d00f92ce0cae,未跟踪 / Untracked,2026-07-29T15:20:25.958Z,
150,待命名（Currency Skull Icon）,Currency Skull Icon,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/currency_skull_icon.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\top\currency_skull_icon.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/currency_skull_icon.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,78×79,12143,有 Alpha / Alpha,未知 / Unknown,f98c975bf7205121f5827f55c836547313bd0734e09382259611da2201c46235,未跟踪 / Untracked,2026-07-29T15:20:25.931Z,
151,货币状态框,Currency Status Frame,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/currency_status_frame.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\top\currency_status_frame.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/currency_status_frame.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,218×84,5090,有 Alpha / Alpha,未知 / Unknown,77999ed3b6a6f057a4a465e8f16bc24bf2d7134a054a9c7fbeb6028df28baba9,未跟踪 / Untracked,2026-07-29T15:20:25.923Z,
152,暂停按钮,Pause Button,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/pause_button.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\top\pause_button.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/pause_button.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,91×90,9348,有 Alpha / Alpha,未知 / Unknown,acc9321b1985ec83121393597caecb7bce2708cd1b87d3a536a6723299fac99c,未跟踪 / Untracked,2026-07-29T15:20:25.889Z,
153,待命名（Timer Clock Icon）,Timer Clock Icon,AI 原始资源,AI Originals,位图,Raster Image,AI 原始资源,AI Original,原始产物留档,Original Generation Archived,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/timer_clock_icon.png,F:\卖肉\godotT10\game_mergenTo10_published\art\ai_generated\slices\2026-07-29\core-battle-ui-chroma-textless-v02\top\timer_clock_icon.png,否 / No,0,,v02,art/ai_generated/slices/2026-07-29/core-battle-ui-chroma-textless-v02/top/timer_clock_icon.png,,,,当前来源目录归档 / Current Source-Directory Archive,HIGH / 高,.png,50×53,5718,有 Alpha / Alpha,未知 / Unknown,0b19f08028ac86044a205ee6562f81f05b84486729f444e917ae719384cc926c,未跟踪 / Untracked,2026-07-29T15:20:25.914Z,
